Grafico_Configuracao_do_robo
Time (Seconds),X (Meters),Y (Meters)
119.200005,-0.352459,0.907354
119.250000,-0.355874,0.900605
119.300003,-0.359162,0.893976
119.350006,-0.362342,0.887599
119.400002,-0.365501,0.880977
119.450005,-0.368617,0.873993
119.500000,-0.371606,0.867113
119.550003,-0.374532,0.860440
119.600006,-0.377311,0.853518
119.650002,-0.380059,0.846632
119.700005,-0.382660,0.839245
119.750000,-0.385174,0.831988
119.800003,-0.387459,0.825086
119.850006,-0.389724,0.818255
119.900002,-0.391899,0.811216
119.950005,-0.393929,0.804040
120.000000,-0.395757,0.796867
120.050003,-0.397598,0.789893
120.100006,-0.399363,0.782921
120.150002,-0.401014,0.775740
120.200005,-0.402526,0.768510
120.250000,-0.403993,0.761386
120.300003,-0.405291,0.754354
120.350006,-0.406409,0.747141
120.400002,-0.407554,0.740018
120.450005,-0.408640,0.732875
120.500000,-0.409620,0.725790
120.550003,-0.410370,0.718475
120.600006,-0.411140,0.711259
120.650002,-0.411934,0.704458
120.700005,-0.412453,0.697112
120.750000,-0.413023,0.689832
120.800003,-0.413413,0.682321
120.850006,-0.413854,0.675488
120.900002,-0.414283,0.668736
120.950005,-0.414631,0.661980
121.000000,-0.414928,0.655184
121.050003,-0.415106,0.648277
121.100006,-0.414773,0.640986
121.150002,-0.414548,0.634399
121.200005,-0.414184,0.627565
121.250000,-0.413657,0.620526
121.300003,-0.412978,0.613351
121.350006,-0.412207,0.606214
121.400002,-0.411537,0.599122
121.450005,-0.410840,0.591815
121.500000,-0.410059,0.584398
121.550003,-0.409148,0.576972
121.600006,-0.408206,0.569661
121.650002,-0.407390,0.562743
121.700005,-0.406433,0.555667
121.750000,-0.405088,0.548303
121.800003,-0.403947,0.541439
121.850006,-0.402669,0.534232
121.900002,-0.401138,0.526744
121.950005,-0.399701,0.519758
122.000000,-0.398010,0.512523
122.050003,-0.396464,0.505598
122.100006,-0.394643,0.498383
122.150002,-0.392624,0.491002
122.200005,-0.390826,0.484043
122.250000,-0.388836,0.476840
122.300003,-0.386527,0.469606
122.350006,-0.384263,0.462538
122.400002,-0.382115,0.455796
122.450005,-0.379727,0.448775
122.500000,-0.377221,0.441779
122.550003,-0.374802,0.435056
122.600006,-0.372154,0.428147
122.650002,-0.369534,0.421462
122.700005,-0.366890,0.414860
122.750000,-0.363946,0.407978
122.800003,-0.360988,0.401221
122.850006,-0.358182,0.394736
122.900002,-0.355040,0.387998
122.950005,-0.351744,0.381218
123.000000,-0.348220,0.374440
123.050003,-0.344944,0.367969
123.100006,-0.341495,0.361425
123.150002,-0.338153,0.355123
123.200005,-0.334510,0.348555
123.250000,-0.330504,0.342168
123.300003,-0.326721,0.336135
123.350006,-0.322932,0.330194
123.400002,-0.319019,0.324333
123.450005,-0.315021,0.318180
123.500000,-0.310895,0.312043
123.550003,-0.306772,0.306035
123.600006,-0.302471,0.300086
123.650002,-0.298351,0.294236
123.700005,-0.293874,0.288309
123.750000,-0.289264,0.282432
123.800003,-0.284716,0.276791
123.850006,-0.280043,0.271070
123.900002,-0.275444,0.265384
123.950005,-0.270560,0.259747
124.000000,-0.266016,0.254449
124.050003,-0.261398,0.249270
124.100006,-0.256592,0.244086
124.150002,-0.251478,0.238687
124.200005,-0.246408,0.233391
124.250000,-0.241204,0.228126

