Grafico_Configuracao_do_robo
Time (Seconds),X (Meters),Y (Meters)
84.700005,0.638284,0.842049
84.750000,0.634980,0.848538
84.800003,0.631635,0.855280
84.850006,0.628329,0.861782
84.900002,0.624910,0.868357
84.950005,0.621489,0.874785
85.000000,0.617657,0.881459
85.050003,0.613974,0.887859
85.100006,0.610457,0.894113
85.150002,0.606616,0.900462
85.200005,0.602928,0.906525
85.250000,0.599128,0.912669
85.300003,0.594899,0.919026
85.350006,0.590773,0.925184
85.400002,0.586514,0.931308
85.450005,0.582452,0.937209
85.500000,0.577958,0.943255
85.550003,0.573426,0.949168
85.600006,0.569312,0.954797
85.650002,0.564638,0.960640
85.700005,0.559913,0.966420
85.750000,0.555130,0.972092
85.800003,0.550337,0.977641
85.850006,0.545857,0.983007
85.900002,0.540832,0.988559
85.950005,0.535587,0.994043
86.000000,0.530577,0.999251
86.050003,0.525633,1.004459
86.100006,0.520641,1.009533
86.150002,0.515543,1.014612
86.200005,0.509865,1.019629
86.250000,0.504453,1.024671
86.300003,0.499164,1.029507
86.350006,0.493464,1.034439
86.400002,0.488073,1.039094
86.450005,0.482469,1.043784
86.500000,0.476726,1.048435
86.550003,0.470754,1.052928
86.600006,0.465303,1.057207
86.650002,0.459582,1.061464
86.700005,0.453547,1.065724
86.750000,0.447466,1.069892
86.800003,0.441247,1.073926
86.850006,0.435011,1.077785
86.900002,0.428960,1.081520
86.950005,0.422794,1.085310
87.000000,0.416935,1.088966
87.050003,0.410929,1.092594
87.100006,0.404455,1.096289
87.150002,0.397788,1.099869
87.200005,0.391421,1.103332
87.250000,0.385282,1.106676
87.300003,0.378788,1.110008
87.350006,0.371918,1.113218
87.400002,0.365116,1.116312
87.450005,0.358821,1.119291
87.500000,0.352110,1.122304
87.550003,0.345102,1.125157
87.600006,0.338188,1.127928
87.650002,0.331321,1.130520
87.700005,0.324263,1.133077
87.750000,0.317326,1.135569
87.800003,0.310590,1.137907
87.850006,0.303493,1.140183
87.900002,0.296447,1.142402
87.950005,0.289325,1.144462
88.000000,0.282340,1.146331
88.050003,0.275285,1.147915
88.100006,0.268448,1.149470
88.150002,0.261668,1.151092
88.200005,0.254308,1.152542
88.250000,0.247403,1.153912
88.300003,0.240394,1.155215
88.350006,0.233459,1.156465
88.400002,0.226149,1.157625
88.450005,0.219282,1.158809
88.500000,0.212135,1.159792
88.550003,0.205186,1.160759
88.600006,0.197865,1.161543
88.650002,0.190224,1.162242
88.700005,0.183361,1.162979
88.750000,0.176381,1.163754
88.800003,0.168980,1.164250
88.850006,0.162015,1.164779
88.900002,0.154273,1.165003
88.950005,0.147281,1.165372
89.000000,0.139860,1.165603
89.050003,0.132558,1.165756
89.100006,0.125101,1.165754
89.150002,0.117536,1.165541
89.200005,0.110329,1.165481
89.250000,0.102681,1.165077
89.300003,0.095237,1.164680
89.350006,0.087831,1.164235
89.400002,0.080132,1.163592
89.450005,0.072846,1.162907
89.500000,0.065829,1.162275
89.550003,0.058480,1.161427
89.600006,0.051480,1.160579
89.650002,0.044130,1.159544
89.700005,0.036594,1.158260
89.750000,0.029233,1.157043
89.800003,0.022089,1.155746
89.850006,0.014802,1.154351
89.900002,0.007608,1.152868
89.950005,0.000555,1.151422
90.000000,-0.006737,1.149692
90.050003,-0.013522,1.148172
90.100006,-0.020879,1.146127
90.150002,-0.028175,1.143995
90.200005,-0.035318,1.141938
90.250000,-0.042313,1.139848
90.300003,-0.049264,1.137717
90.350006,-0.056222,1.135416
90.400002,-0.062944,1.133254
90.450005,-0.070116,1.130622
90.500000,-0.077206,1.127897
90.550003,-0.084008,1.125243
90.600006,-0.090841,1.122492
90.650002,-0.097601,1.119667
90.700005,-0.104483,1.116484
90.750000,-0.111231,1.113481
90.800003,-0.117831,1.110439
90.850006,-0.124411,1.107208
90.900002,-0.131091,1.103836
90.950005,-0.137465,1.100599
91.000000,-0.143984,1.097195
91.050003,-0.150308,1.093757
91.100006,-0.156694,1.090196
91.150002,-0.163105,1.086336
91.200005,-0.169382,1.082612
91.250000,-0.175702,1.078552
91.300003,-0.181811,1.074701
91.350006,-0.187836,1.070945
91.400002,-0.194077,1.066565
91.450005,-0.199880,1.062387
91.500000,-0.205487,1.058282
91.550003,-0.211299,1.053789
91.600006,-0.216927,1.049578
91.650002,-0.222588,1.044977
91.700005,-0.228312,1.040384
91.750000,-0.234051,1.035531
91.800003,-0.239421,1.031063
91.850006,-0.244865,1.026350
91.900002,-0.250342,1.021431
91.950005,-0.255610,1.016677
92.000000,-0.260997,1.011528
92.050003,-0.266192,1.006552
92.100006,-0.271326,1.001387
92.150002,-0.276415,0.996208
92.200005,-0.281439,0.991002
92.250000,-0.286432,0.985554
92.300003,-0.291497,0.979979
92.350006,-0.296264,0.974701
92.400002,-0.301014,0.969208
92.450005,-0.305880,0.963334
92.500000,-0.310522,0.957718
92.550003,-0.315142,0.952068
92.600006,-0.319690,0.946165
92.650002,-0.324117,0.940586
92.700005,-0.328497,0.934704
92.750000,-0.332732,0.929005
92.800003,-0.336993,0.922924
92.850006,-0.341069,0.917066
