Grafico_Espaco_de_trabalho
Time (Seconds),X (Meters),Y (Meters),Z (Meters)
108.000000,0.771011,0.606644,0.099902
108.050003,0.771498,0.613961,0.099896
108.100006,0.771787,0.621601,0.099891
108.150002,0.771985,0.629137,0.099890
108.200005,0.772253,0.636448,0.099897
108.250000,0.772309,0.643986,0.099898
108.300003,0.772245,0.651519,0.099893
108.350006,0.772127,0.659045,0.099893
108.400002,0.771894,0.666525,0.099899
108.450005,0.771727,0.673741,0.099898
108.500000,0.771276,0.681380,0.099900
108.550003,0.770771,0.688794,0.099901
108.600006,0.770233,0.696224,0.099894
108.650002,0.769527,0.703717,0.099889
108.700005,0.768706,0.711144,0.099882
108.750000,0.767810,0.718552,0.099885
108.800003,0.766885,0.725863,0.099879
108.850006,0.765815,0.733218,0.099878
108.900002,0.764669,0.740581,0.099877
108.950005,0.763428,0.747930,0.099884
109.000000,0.762062,0.755201,0.099879
109.050003,0.760918,0.762100,0.099885
109.100006,0.759449,0.769347,0.099888
109.150002,0.758018,0.776348,0.099885
109.200005,0.756316,0.783721,0.099874
109.250000,0.754455,0.791138,0.099886
109.300003,0.752823,0.798005,0.099874
109.350006,0.750917,0.805107,0.099881
109.400002,0.749030,0.812074,0.099883
109.450005,0.747180,0.819035,0.099898
109.500000,0.744760,0.826415,0.099876
109.550003,0.742466,0.833611,0.099881
109.600006,0.740034,0.840811,0.099886
109.650002,0.737622,0.847759,0.099883
109.700005,0.734980,0.854842,0.099894
109.750000,0.732319,0.861823,0.099887
109.800003,0.729470,0.868825,0.099867
109.850006,0.726789,0.875622,0.099885
109.900002,0.723916,0.882357,0.099880
109.950005,0.720837,0.889166,0.099889
110.000000,0.717722,0.895807,0.099879
110.050003,0.714689,0.902447,0.099869
110.100006,0.711547,0.909006,0.099874
110.150002,0.708007,0.915673,0.099873
110.200005,0.704873,0.922028,0.099879
110.250000,0.701205,0.928601,0.099878
110.300003,0.697751,0.934835,0.099876
110.350006,0.694498,0.940999,0.099894
110.400002,0.690653,0.947360,0.099885
110.450005,0.686568,0.953812,0.099885
110.500000,0.682613,0.959985,0.099879
110.550003,0.678753,0.966025,0.099879
110.600006,0.674560,0.972346,0.099898
110.650002,0.670123,0.978395,0.099876
110.700005,0.665929,0.984225,0.099882
110.750000,0.661449,0.990127,0.099885
110.800003,0.657290,0.995479,0.099881
110.850006,0.653005,1.000771,0.099883
110.900002,0.648305,1.006236,0.099875
110.950005,0.643656,1.011565,0.099873
111.000000,0.638987,1.016803,0.099876
111.050003,0.634257,1.022050,0.099872
111.100006,0.629327,1.027441,0.099888
111.150002,0.624459,1.032548,0.099880
111.200005,0.619628,1.037577,0.099888
111.250000,0.614656,1.042545,0.099870
111.300003,0.609342,1.047594,0.099886
111.350006,0.604187,1.052466,0.099886
111.400002,0.599015,1.057285,0.099869
111.450005,0.593747,1.062042,0.099875
111.500000,0.588562,1.066715,0.099887
111.550003,0.583011,1.071532,0.099889
111.600006,0.577541,1.076154,0.099877
111.650002,0.571800,1.080727,0.099895
111.700005,0.566267,1.085122,0.099876
111.750000,0.560775,1.089371,0.099866
111.800003,0.555127,1.093559,0.099875
111.850006,0.549447,1.097641,0.099874
111.900002,0.543453,1.101721,0.099882
111.950005,0.537583,1.105764,0.099880
112.000000,0.531566,1.109778,0.099877
112.050003,0.525650,1.113630,0.099875
112.100006,0.519457,1.117390,0.099884
112.150002,0.513507,1.120980,0.099872
112.200005,0.507863,1.124496,0.099875
112.250000,0.501994,1.127903,0.099878
112.300003,0.496237,1.131249,0.099879
112.350006,0.490421,1.134572,0.099876
112.400002,0.484751,1.137816,0.099867
112.450005,0.478817,1.141032,0.099875
112.500000,0.472921,1.144162,0.099878
112.550003,0.466953,1.147255,0.099870
112.600006,0.460872,1.150322,0.099879
112.650002,0.454749,1.153324,0.099875
112.700005,0.448699,1.156242,0.099865
112.750000,0.442657,1.159071,0.099874
112.800003,0.436542,1.161884,0.099870
112.850006,0.430204,1.164623,0.099875
112.900002,0.424104,1.167275,0.099869
112.950005,0.418158,1.169875,0.099877
113.000000,0.411988,1.172416,0.099872
113.050003,0.405887,1.174875,0.099869
113.100006,0.399777,1.177284,0.099870
113.150002,0.393573,1.179653,0.099864
113.200005,0.387254,1.181941,0.099868
113.250000,0.380978,1.184166,0.099870
113.300003,0.374729,1.186341,0.099872
113.350006,0.368540,1.188485,0.099865
113.400002,0.362228,1.190561,0.099877
113.450005,0.355839,1.192580,0.099874
113.500000,0.349603,1.194559,0.099868
113.550003,0.343171,1.196463,0.099873
113.600006,0.336684,1.198230,0.099875
113.650002,0.330169,1.199990,0.099873
113.700005,0.323653,1.201675,0.099876
113.750000,0.317138,1.203319,0.099871
113.800003,0.310907,1.204979,0.099869
113.850006,0.304354,1.206495,0.099873
113.900002,0.297745,1.207968,0.099867
113.950005,0.291416,1.209453,0.099868
114.000000,0.284906,1.210807,0.099872
114.050003,0.278625,1.212156,0.099870
114.100006,0.272319,1.213466,0.099878
114.150002,0.265960,1.214694,0.099874
114.200005,0.259607,1.215890,0.099875
114.250000,0.253419,1.217084,0.099874
114.300003,0.246984,1.218330,0.099887
114.350006,0.239599,1.219429,0.099872
114.400002,0.231888,1.220264,0.099891
114.450005,0.224695,1.221096,0.099877
114.500000,0.217436,1.221912,0.099876
114.550003,0.210304,1.222708,0.099893
114.600006,0.202842,1.223240,0.099884
114.650002,0.195291,1.223646,0.099875
114.700005,0.188036,1.224036,0.099881
114.750000,0.180811,1.224347,0.099879
114.800003,0.173603,1.224643,0.099879
114.850006,0.166204,1.224776,0.099869
114.900002,0.159035,1.224866,0.099871
114.950005,0.151616,1.224812,0.099879
115.000000,0.144077,1.224586,0.099886
115.050003,0.136663,1.224278,0.099879
115.100006,0.129350,1.223859,0.099868
115.150002,0.122041,1.223386,0.099889
115.200005,0.114624,1.222696,0.099879
115.250000,0.107615,1.222217,0.099879
115.300003,0.100583,1.221639,0.099888
115.350006,0.093265,1.220725,0.099878
115.400002,0.085972,1.219847,0.099887
115.450005,0.078626,1.218738,0.099876
115.500000,0.071827,1.217857,0.099884
115.550003,0.064429,1.216606,0.099894
115.600006,0.057060,1.215160,0.099873
115.650002,0.049696,1.213643,0.099886
115.700005,0.042318,1.212033,0.099886
115.750000,0.035277,1.210518,0.099893
115.800003,0.028039,1.208782,0.099875
115.850006,0.021228,1.207170,0.099877
115.900002,0.013997,1.205147,0.099885
115.950005,0.007147,1.203263,0.099877
116.000000,0.000307,1.201454,0.099891
116.050003,-0.006870,1.199199,0.099887
116.100006,-0.013904,1.196854,0.099877
116.150002,-0.020711,1.194758,0.099893
116.200005,-0.027640,1.192278,0.099877
116.250000,-0.034698,1.189609,0.099891
116.300003,-0.041384,1.187200,0.099892
116.350006,-0.048310,1.184558,0.099895
116.400002,-0.054944,1.181863,0.099882
116.450005,-0.061621,1.179131,0.099883
116.500000,-0.068601,1.176056,0.099885
116.550003,-0.075414,1.172897,0.099892
116.600006,-0.082225,1.169606,0.099888
116.650002,-0.088636,1.166660,0.099882
116.700005,-0.095187,1.163501,0.099904
116.750000,-0.101910,1.159938,0.099894
116.800003,-0.108170,1.156739,0.099887
116.850006,-0.114703,1.153160,0.099888
116.900002,-0.121219,1.149417,0.099882
116.950005,-0.127538,1.145692,0.099892
117.000000,-0.133890,1.141838,0.099881
117.050003,-0.140168,1.137889,0.099883
117.100006,-0.146361,1.133986,0.099895
117.150002,-0.152550,1.129755,0.099881
117.200005,-0.158311,1.126111,0.099889
117.250000,-0.164215,1.122157,0.099889
117.300003,-0.170299,1.117682,0.099897
117.350006,-0.176235,1.113383,0.099890
117.400002,-0.182028,1.109085,0.099887
117.450005,-0.187954,1.104509,0.099897
117.500000,-0.193749,1.099909,0.099893
117.550003,-0.199469,1.095164,0.099886
117.600006,-0.205246,1.090363,0.099900
117.650002,-0.210864,1.085545,0.099883
117.700005,-0.216316,1.080855,0.099892
117.750000,-0.221732,1.075980,0.099893
117.800003,-0.227220,1.070802,0.099896
117.850006,-0.232688,1.065573,0.099895
117.900002,-0.238073,1.060369,0.099890
117.950005,-0.243275,1.055258,0.099885
118.000000,-0.248376,1.050276,0.099887
118.050003,-0.253516,1.045175,0.099904
118.100006,-0.258624,1.039705,0.099896
118.150002,-0.263621,1.034107,0.099892
118.200005,-0.268483,1.028609,0.099890
118.250000,-0.273397,1.022935,0.099902
118.300003,-0.278187,1.017415,0.099885
118.350006,-0.282955,1.011807,0.099904
118.400002,-0.287671,1.005925,0.099891
118.450005,-0.292240,1.000378,0.099905
118.500000,-0.296834,0.994380,0.099895
118.550003,-0.301278,0.988491,0.099902
118.600006,-0.305612,0.982419,0.099892
118.650002,-0.309935,0.976346,0.099889
118.700005,-0.314147,0.970236,0.099886
118.750000,-0.318195,0.964617,0.099900
118.800003,-0.322311,0.958291,0.099882
118.850006,-0.326351,0.952198,0.099900
118.900002,-0.330318,0.945967,0.099901
118.950005,-0.334196,0.939613,0.099888
119.000000,-0.338001,0.933529,0.099903
119.050003,-0.341717,0.927151,0.099888
119.100006,-0.345381,0.920601,0.099894
119.150002,-0.348900,0.913966,0.099887
119.200005,-0.352459,0.907354,0.099900
119.250000,-0.355874,0.900605,0.099901
119.300003,-0.359162,0.893976,0.099892
119.350006,-0.362342,0.887599,0.099893
119.400002,-0.365501,0.880977,0.099895
119.450005,-0.368617,0.873993,0.099902
119.500000,-0.371606,0.867113,0.099889
119.550003,-0.374532,0.860440,0.099898
119.600006,-0.377311,0.853518,0.099890
119.650002,-0.380059,0.846632,0.099900
119.700005,-0.382660,0.839245,0.099902
119.750000,-0.385174,0.831988,0.099885
119.800003,-0.387459,0.825086,0.099884
119.850006,-0.389724,0.818255,0.099892
119.900002,-0.391899,0.811216,0.099886
119.950005,-0.393929,0.804040,0.099901
120.000000,-0.395757,0.796867,0.099898
120.050003,-0.397598,0.789893,0.099895
120.100006,-0.399363,0.782921,0.099885
120.150002,-0.401014,0.775740,0.099897
120.200005,-0.402526,0.768510,0.099901
120.250000,-0.403993,0.761386,0.099884
120.300003,-0.405291,0.754354,0.099895
120.350006,-0.406409,0.747141,0.099894
120.400002,-0.407554,0.740018,0.099890
120.450005,-0.408640,0.732875,0.099884
120.500000,-0.409620,0.725790,0.099888
120.550003,-0.410370,0.718475,0.099889
120.600006,-0.411140,0.711259,0.099884
120.650002,-0.411934,0.704458,0.099890
120.700005,-0.412453,0.697112,0.099888
120.750000,-0.413023,0.689832,0.099893
120.800003,-0.413413,0.682321,0.099897
120.850006,-0.413854,0.675488,0.099881
120.900002,-0.414283,0.668736,0.099891
120.950005,-0.414631,0.661980,0.099889
121.000000,-0.414928,0.655184,0.099891
121.050003,-0.415106,0.648277,0.099901
121.100006,-0.414773,0.640986,0.099881
121.150002,-0.414548,0.634399,0.099891
121.200005,-0.414184,0.627565,0.099898
121.250000,-0.413657,0.620526,0.099882
121.300003,-0.412978,0.613351,0.099904
121.350006,-0.412207,0.606214,0.099901
121.400002,-0.411537,0.599122,0.099899
121.450005,-0.410840,0.591815,0.099888
121.500000,-0.410059,0.584398,0.099885
121.550003,-0.409148,0.576972,0.099895
121.600006,-0.408206,0.569661,0.099885
121.650002,-0.407390,0.562743,0.099886
121.700005,-0.406433,0.555667,0.099904
121.750000,-0.405088,0.548303,0.099893
121.800003,-0.403947,0.541439,0.099889
121.850006,-0.402669,0.534232,0.099903
121.900002,-0.401138,0.526744,0.099884
121.950005,-0.399701,0.519758,0.099890
122.000000,-0.398010,0.512523,0.099896
122.050003,-0.396464,0.505598,0.099893
122.100006,-0.394643,0.498383,0.099889
122.150002,-0.392624,0.491002,0.099899
122.200005,-0.390826,0.484043,0.099893
122.250000,-0.388836,0.476840,0.099896
122.300003,-0.386527,0.469606,0.099900
122.350006,-0.384263,0.462538,0.099888
122.400002,-0.382115,0.455796,0.099895
122.450005,-0.379727,0.448775,0.099880
122.500000,-0.377221,0.441779,0.099889
122.550003,-0.374802,0.435056,0.099899
122.600006,-0.372154,0.428147,0.099904
122.650002,-0.369534,0.421462,0.099889
122.700005,-0.366890,0.414860,0.099896
122.750000,-0.363946,0.407978,0.099894
122.800003,-0.360988,0.401221,0.099884
122.850006,-0.358182,0.394736,0.099889
122.900002,-0.355040,0.387998,0.099901
122.950005,-0.351744,0.381218,0.099900
123.000000,-0.348220,0.374440,0.099896
123.050003,-0.344944,0.367969,0.099902
123.100006,-0.341495,0.361425,0.099896
123.150002,-0.338153,0.355123,0.099894
123.200005,-0.334510,0.348555,0.099897
123.250000,-0.330504,0.342168,0.099903
123.300003,-0.326721,0.336135,0.099887
123.350006,-0.322932,0.330194,0.099904
123.400002,-0.319019,0.324333,0.099902
123.450005,-0.315021,0.318180,0.099889
123.500000,-0.310895,0.312043,0.099882
123.550003,-0.306772,0.306035,0.099885
123.600006,-0.302471,0.300086,0.099880
123.650002,-0.298351,0.294236,0.099896
123.700005,-0.293874,0.288309,0.099890
123.750000,-0.289264,0.282432,0.099896
123.800003,-0.284716,0.276791,0.099890
123.850006,-0.280043,0.271070,0.099873
123.900002,-0.275444,0.265384,0.099899
123.950005,-0.270560,0.259747,0.099893
124.000000,-0.266016,0.254449,0.099882
124.050003,-0.261398,0.249270,0.099897
124.100006,-0.256592,0.244086,0.099900
124.150002,-0.251478,0.238687,0.099884
124.200005,-0.246408,0.233391,0.099886
124.250000,-0.241204,0.228126,0.099887

