Grafico_Espaco_de_trabalho
Time (Seconds),X (Meters),Y (Meters),Z (Meters)
82.100006,0.676953,0.469228,0.099888
82.150002,0.678534,0.476403,0.099884
82.200005,0.680036,0.483639,0.099884
82.250000,0.681362,0.491282,0.099882
82.300003,0.682729,0.498388,0.099897
82.350006,0.683952,0.505567,0.099884
82.400002,0.685177,0.512455,0.099888
82.450005,0.686247,0.519730,0.099895
82.500000,0.687114,0.527264,0.099884
82.550003,0.688054,0.534528,0.099887
82.600006,0.688891,0.541911,0.099885
82.650002,0.689707,0.548964,0.099889
82.700005,0.690282,0.556445,0.099880
82.750000,0.690758,0.564070,0.099894
82.800003,0.691170,0.571775,0.099891
82.850006,0.691546,0.578947,0.099884
82.900002,0.691697,0.586557,0.099897
82.950005,0.691865,0.593715,0.099883
83.000000,0.692099,0.600768,0.099890
83.050003,0.692155,0.608137,0.099898
83.100006,0.691950,0.615891,0.099896
83.150002,0.691730,0.623153,0.099883
83.200005,0.691442,0.630709,0.099878
83.250000,0.691054,0.637973,0.099899
83.300003,0.690557,0.645235,0.099881
83.350006,0.690128,0.652422,0.099901
83.400002,0.689237,0.660145,0.099888
83.450005,0.688494,0.667460,0.099886
83.500000,0.687611,0.674833,0.099876
83.550003,0.686713,0.682086,0.099879
83.600006,0.685724,0.689289,0.099890
83.650002,0.684412,0.696696,0.099879
83.700005,0.683272,0.703778,0.099881
83.750000,0.682037,0.710925,0.099870
83.800003,0.680048,0.718760,0.099886
83.850006,0.678513,0.725957,0.099885
83.900002,0.677015,0.732942,0.099883
83.950005,0.675492,0.739823,0.099891
84.000000,0.673561,0.747156,0.099891
84.050003,0.671586,0.754366,0.099881
84.100006,0.669775,0.761165,0.099880
84.150002,0.667736,0.768235,0.099884
84.200005,0.665462,0.775349,0.099877
84.250000,0.663220,0.782306,0.099882
84.300003,0.660797,0.789274,0.099875
84.350006,0.658575,0.795912,0.099884
84.400002,0.655941,0.802778,0.099885
84.450005,0.653202,0.809570,0.099881
84.500000,0.650431,0.816326,0.099893
84.550003,0.647396,0.823037,0.099879
84.600006,0.644486,0.829429,0.099879
84.650002,0.641502,0.835673,0.099880
84.700005,0.638284,0.842049,0.099870
84.750000,0.634980,0.848538,0.099876
84.800003,0.631635,0.855280,0.099894
84.850006,0.628329,0.861782,0.099896
84.900002,0.624910,0.868357,0.099887
84.950005,0.621489,0.874785,0.099891
85.000000,0.617657,0.881459,0.099897
85.050003,0.613974,0.887859,0.099880
85.100006,0.610457,0.894113,0.099890
85.150002,0.606616,0.900462,0.099883
85.200005,0.602928,0.906525,0.099878
85.250000,0.599128,0.912669,0.099894
85.300003,0.594899,0.919026,0.099893
85.350006,0.590773,0.925184,0.099885
85.400002,0.586514,0.931308,0.099880
85.450005,0.582452,0.937209,0.099879
85.500000,0.577958,0.943255,0.099881
85.550003,0.573426,0.949168,0.099873
85.600006,0.569312,0.954797,0.099881
85.650002,0.564638,0.960640,0.099890
85.700005,0.559913,0.966420,0.099880
85.750000,0.555130,0.972092,0.099876
85.800003,0.550337,0.977641,0.099876
85.850006,0.545857,0.983007,0.099881
85.900002,0.540832,0.988559,0.099881
